Actual Spotify Name,Spotify URL,Spotify ID
"Afrobeat, Chill","https://open.spotify.com/playlist/2iig1p0w46f3lKUim5aCQP","2iig1p0w46f3lKUim5aCQP"
"Afrobeat, Groovers","https://open.spotify.com/playlist/7xeFi53HwuE8pNlftbK2lL","7xeFi53HwuE8pNlftbK2lL"
"Afrobeat, Heavy","https://open.spotify.com/playlist/52WUzKdwm9kgIYtJq3Pxfi","52WUzKdwm9kgIYtJq3Pxfi"
"Alex Kasau Katombi","https://open.spotify.com/playlist/4tNlGIW4EsLe0CwP5LWx6c","4tNlGIW4EsLe0CwP5LWx6c"
"Atom TM","https://open.spotify.com/playlist/4NL0LAlmsbr2W70g27Cycn","4NL0LAlmsbr2W70g27Cycn"
"Amapiano, Gospel","https://open.spotify.com/playlist/1pYn1uvmbNPPiarE2mT8SP","1pYn1uvmbNPPiarE2mT8SP"
"Amapiano, Private School","https://open.spotify.com/playlist/2HnPeP0Nfk6YpTBmxrS9U6","2HnPeP0Nfk6YpTBmxrS9U6"
"Amapiano, Starter Pack","https://open.spotify.com/playlist/0FQ3q1kXYX1hfN7N5n7yT6","0FQ3q1kXYX1hfN7N5n7yT6"
"Asakaa","https://open.spotify.com/playlist/2lni3fakT2CCFulvIWcOFt","2lni3fakT2CCFulvIWcOFt"
"Asakaa, Starter Pack","https://open.spotify.com/playlist/13IKYLFu60AscHVUcWwuv0","13IKYLFu60AscHVUcWwuv0"
"Benga & Kamba Pop, Modern","https://open.spotify.com/playlist/1JSCxZphCXqWqfq5pYrub9","1JSCxZphCXqWqfq5pYrub9"
"Benga & Kamba Pop, Vintage","https://open.spotify.com/playlist/0t6jRcP3uo3BSEEFvUsrxe","0t6jRcP3uo3BSEEFvUsrxe"
"Biama","https://open.spotify.com/playlist/3Q6gJfudcpuoV1rVScaD4x","3Q6gJfudcpuoV1rVScaD4x"
"Bikutsi","https://open.spotify.com/playlist/1WS40Xzfsrg37iKOXudtOk","1WS40Xzfsrg37iKOXudtOk"
"Bikutsi, Contemporary","https://open.spotify.com/playlist/0a8H55Hlj8sAUGkJs7tdnY","0a8H55Hlj8sAUGkJs7tdnY"
"Cabo Verde, Vintage R&B","https://open.spotify.com/playlist/1rbReWa0ajvTwJQJFiZYoH","1rbReWa0ajvTwJQJFiZYoH"
